"['2015-08-21', '6180.0', '7300.0', '5600.0', '7100.0', '7034.461426', '9970110']"
"['2015-08-21', '6180.0', '7300.0', '5600.0', '7100.0', '7034.461426', '9970110']","['2015-08-24', '6700.0', '6940.0', '6240.0', '6480.0', '6420.18457', '1964155']","['2015-08-25', '6610.0', '6730.0', '6190.0', '6220.0', '6162.584473', '1213650']","['2015-08-26', '6260.0', '7760.0', '6260.0', '7090.0', '7024.553711', '3518605']"
"['2015-08-21', '6180.0', '7300.0', '5600.0', '7100.0', '7034.461426', '9970110']","['2015-08-24', '6700.0', '6940.0', '6240.0', '6480.0', '6420.18457', '1964155']","['2015-08-25', '6610.0', '6730.0', '6190.0', '6220.0', '6162.584473', '1213650']","['2015-08-26', '6260.0', '7760.0', '6260.0', '7090.0', '7024.553711', '3518605']","['2015-08-27', '7240.0', '8060.0', '6960.0', '7570.0', '7500.123047', '2499565']","['2015-08-28', '7660.0', '7840.0', '7090.0', '7140.0', '7074.092285', '956575']","['2015-08-31', '7260.0', '7260.0', '6610.0', '6700.0', '6638.153809', '1015115']","['2015-09-01', '6840.0', '7050.0', '6640.0', '6650.0', '6588.615234', '747595']","['2015-09-02', '6520.0', '7330.0', '6400.0', '7220.0', '7153.353516', '802960']"
"['2015-08-26', '6260.0', '7760.0', '6260.0', '7090.0', '7024.553711', '3518605']","['2015-08-27', '7240.0', '8060.0', '6960.0', '7570.0', '7500.123047', '2499565']","['2015-08-28', '7660.0', '7840.0', '7090.0', '7140.0', '7074.092285', '956575']","['2015-08-31', '7260.0', '7260.0', '6610.0', '6700.0', '6638.153809', '1015115']","['2015-09-01', '6840.0', '7050.0', '6640.0', '6650.0', '6588.615234', '747595']","['2015-09-02', '6520.0', '7330.0', '6400.0', '7220.0', '7153.353516', '802960']","['2015-09-03', '7230.0', '7790.0', '7060.0', '7580.0', '7510.030762', '679310']","['2015-09-04', '7580.0', '7760.0', '7070.0', '7320.0', '7252.430664', '366880']","['2015-09-07', '7220.0', '7520.0', '7070.0', '7290.0', '7222.70752', '302690']","['2015-09-08', '7350.0', '7440.0', '6760.0', '6960.0', '6895.753906', '267085']","['2015-09-09', '7100.0', '7240.0', '6850.0', '7160.0', '7093.907715', '213650']","['2015-09-10', '7130.0', '7130.0', '6790.0', '6930.0', '6866.030762', '275835']","['2015-09-11', '6980.0', '7220.0', '6810.0', '7070.0', '7004.738281', '211700']","['2015-09-14', '7110.0', '7170.0', '6890.0', '6890.0', '6826.399902', '187690']","['2015-09-15', '6890.0', '7540.0', '6760.0', '7520.0', '7450.584473', '732195']"
"['2015-09-04', '7580.0', '7760.0', '7070.0', '7320.0', '7252.430664', '366880']","['2015-09-07', '7220.0', '7520.0', '7070.0', '7290.0', '7222.70752', '302690']","['2015-09-08', '7350.0', '7440.0', '6760.0', '6960.0', '6895.753906', '267085']","['2015-09-09', '7100.0', '7240.0', '6850.0', '7160.0', '7093.907715', '213650']","['2015-09-10', '7130.0', '7130.0', '6790.0', '6930.0', '6866.030762', '275835']","['2015-09-11', '6980.0', '7220.0', '6810.0', '7070.0', '7004.738281', '211700']","['2015-09-14', '7110.0', '7170.0', '6890.0', '6890.0', '6826.399902', '187690']","['2015-09-15', '6890.0', '7540.0', '6760.0', '7520.0', '7450.584473', '732195']","['2015-09-16', '7570.0', '7710.0', '7320.0', '7630.0', '7559.568848', '251615']","['2015-09-17', '7640.0', '7990.0', '7500.0', '7770.0', '7698.276855', '463705']","['2015-09-18', '7770.0', '8330.0', '7630.0', '7970.0', '7896.430664', '534525']","['2015-09-21', '7780.0', '8130.0', '7780.0', '8010.0', '7936.061523', '202910']","['2015-09-22', '8010.0', '8100.0', '7510.0', '7690.0', '7619.015137', '381140']","['2015-09-23', '7620.0', '8020.0', '7580.0', '7750.0', '7678.461426', '348975']","['2015-09-24', '7780.0', '8420.0', '7670.0', '8400.0', '8322.460938', '549945']"
"['2015-09-21', '7780.0', '8130.0', '7780.0', '8010.0', '7936.061523', '202910']","['2015-09-22', '8010.0', '8100.0', '7510.0', '7690.0', '7619.015137', '381140']","['2015-09-23', '7620.0', '8020.0', '7580.0', '7750.0', '7678.461426', '348975']","['2015-09-24', '7780.0', '8420.0', '7670.0', '8400.0', '8322.460938', '549945']","['2015-09-25', '8450.0', '8580.0', '8170.0', '8490.0', '8411.630859', '304620']","['2015-09-30', '8450.0', '8880.0', '8170.0', '8770.0', '8689.045898', '680540']","['2015-10-01', '8790.0', '8870.0', '8550.0', '8550.0', '8471.077148', '258695']","['2015-10-02', '8420.0', '8640.0', '8340.0', '8600.0', '8520.615234', '256455']","['2015-10-05', '8660.0', '8820.0', '8440.0', '8720.0', '8639.507813', '167690']","['2015-10-06', '8760.0', '8790.0', '8470.0', '8600.0', '8520.615234', '86520']","['2015-10-07', '8600.0', '8700.0', '8310.0', '8600.0', '8520.615234', '99465']","['2015-10-08', '8600.0', '8700.0', '8350.0', '8390.0', '8312.553711', '109800']","['2015-10-12', '8390.0', '8670.0', '8110.0', '8600.0', '8520.615234', '100585']","['2015-10-13', '8600.0', '9050.0', '8570.0', '8880.0', '8798.030273', '236995']","['2015-10-14', '9020.0', '9700.0', '8880.0', '9610.0', '9521.291992', '331595']"
"['2015-10-07', '8600.0', '8700.0', '8310.0', '8600.0', '8520.615234', '99465']","['2015-10-08', '8600.0', '8700.0', '8350.0', '8390.0', '8312.553711', '109800']","['2015-10-12', '8390.0', '8670.0', '8110.0', '8600.0', '8520.615234', '100585']","['2015-10-13', '8600.0', '9050.0', '8570.0', '8880.0', '8798.030273', '236995']","['2015-10-14', '9020.0', '9700.0', '8880.0', '9610.0', '9521.291992', '331595']","['2015-10-15', '9590.0', '10380.0', '9080.0', '9590.0', '9501.476563', '718765']","['2015-10-16', '9590.0', '10040.0', '9320.0', '9900.0', '9808.615234', '269255']","['2015-10-19', '9910.0', '10080.0', '9600.0', '9800.0', '9709.538086', '200030']","['2015-10-20', '9940.0', '10260.0', '9780.0', '10020.0', '9927.507813', '183150']","['2015-10-21', '10080.0', '10080.0', '9700.0', '9880.0', '9788.799805', '150160']","['2015-10-22', '9700.0', '9880.0', '9430.0', '9680.0', '9590.645508', '165905']","['2015-10-23', '9680.0', '9800.0', '9430.0', '9460.0', '9372.676758', '129115']","['2015-10-26', '9600.0', '9600.0', '9100.0', '9480.0', '9392.492188', '147060']","['2015-10-27', '9250.0', '9480.0', '9220.0', '9400.0', '9313.230469', '121095']","['2015-10-28', '9220.0', '9790.0', '9210.0', '9790.0', '9699.630859', '178690']"
"['2015-10-16', '9590.0', '10040.0', '9320.0', '9900.0', '9808.615234', '269255']","['2015-10-19', '9910.0', '10080.0', '9600.0', '9800.0', '9709.538086', '200030']","['2015-10-20', '9940.0', '10260.0', '9780.0', '10020.0', '9927.507813', '183150']","['2015-10-21', '10080.0', '10080.0', '9700.0', '9880.0', '9788.799805', '150160']","['2015-10-22', '9700.0', '9880.0', '9430.0', '9680.0', '9590.645508', '165905']","['2015-10-23', '9680.0', '9800.0', '9430.0', '9460.0', '9372.676758', '129115']","['2015-10-26', '9600.0', '9600.0', '9100.0', '9480.0', '9392.492188', '147060']","['2015-10-27', '9250.0', '9480.0', '9220.0', '9400.0', '9313.230469', '121095']","['2015-10-28', '9220.0', '9790.0', '9210.0', '9790.0', '9699.630859', '178690']","['2015-10-29', '9790.0', '9900.0', '9410.0', '9410.0', '9323.138672', '80035']","['2015-10-30', '9400.0', '9720.0', '9280.0', '9480.0', '9392.492188', '113665']","['2015-11-02', '9480.0', '9480.0', '9210.0', '9230.0', '9144.799805', '99650']","['2015-11-03', '9160.0', '9590.0', '9150.0', '9160.0', '9075.446289', '126970']","['2015-11-04', '9160.0', '9160.0', '8400.0', '8970.0', '8887.200195', '341495']","['2015-11-05', '8900.0', '9860.0', '8600.0', '9600.0', '9511.384766', '326120']"
"['2015-10-30', '9400.0', '9720.0', '9280.0', '9480.0', '9392.492188', '113665']","['2015-11-02', '9480.0', '9480.0', '9210.0', '9230.0', '9144.799805', '99650']","['2015-11-03', '9160.0', '9590.0', '9150.0', '9160.0', '9075.446289', '126970']","['2015-11-04', '9160.0', '9160.0', '8400.0', '8970.0', '8887.200195', '341495']","['2015-11-05', '8900.0', '9860.0', '8600.0', '9600.0', '9511.384766', '326120']","['2015-11-06', '9450.0', '9740.0', '9360.0', '9480.0', '9392.492188', '125350']","['2015-11-09', '9480.0', '9550.0', '9000.0', '9280.0', '9194.337891', '78900']","['2015-11-10', '9270.0', '9280.0', '8770.0', '8990.0', '8907.015625', '190980']","['2015-11-11', '8990.0', '9340.0', '8940.0', '8980.0', '8897.107422', '113120']","['2015-11-12', '8990.0', '9170.0', '8610.0', '8690.0', '8609.78418', '113260']","['2015-11-13', '8690.0', '8740.0', '8390.0', '8620.0', '8540.430664', '113615']","['2015-11-16', '8320.0', '8700.0', '8290.0', '8500.0', '8421.538086', '82045']","['2015-11-17', '8500.0', '8740.0', '8500.0', '8590.0', '8510.707031', '64440']","['2015-11-18', '8710.0', '8710.0', '8260.0', '8380.0', '8302.645508', '83730']","['2015-11-19', '8370.0', '8840.0', '8310.0', '8800.0', '8718.768555', '98310']"
"['2015-11-30', '8580.0', '8580.0', '8360.0', '8420.0', '8342.276367', '65500']","['2015-12-01', '8580.0', '8660.0', '8450.0', '8620.0', '8540.430664', '152005']","['2015-12-02', '8660.0', '9170.0', '8630.0', '8820.0', '8738.583984', '246940']","['2015-12-03', '8820.0', '9000.0', '8820.0', '8900.0', '8817.845703', '84585']","['2015-12-04', '8900.0', '9060.0', '8720.0', '8930.0', '8847.569336', '88960']","['2015-12-07', '8860.0', '9390.0', '8840.0', '9230.0', '9144.799805', '111250']","['2015-12-08', '9370.0', '9370.0', '9040.0', '9220.0', '9134.892578', '91995']","['2015-12-09', '9200.0', '9280.0', '9020.0', '9180.0', '9095.261719', '43865']","['2015-12-10', '9240.0', '9520.0', '9180.0', '9300.0', '9214.15332', '92655']","['2015-12-11', '9500.0', '9640.0', '9120.0', '9500.0', '9412.307617', '153450']","['2015-12-14', '9300.0', '9500.0', '8990.0', '9050.0', '8966.460938', '80385']","['2015-12-15', '9190.0', '9240.0', '9020.0', '9220.0', '9134.892578', '53700']","['2015-12-16', '9350.0', '9400.0', '9220.0', '9230.0', '9144.799805', '30510']","['2015-12-17', '9300.0', '9300.0', '8940.0', '9170.0', '9085.353516', '109470']","['2015-12-18', '9170.0', '9800.0', '9020.0', '9740.0', '9650.091797', '152735']"
"['2016-01-29', '8560.0', '8640.0', '8400.0', '8420.0', '8342.276367', '21740']","['2016-02-01', '8520.0', '8520.0', '8250.0', '8350.0', '8272.922852', '18890']","['2016-02-02', '8290.0', '8460.0', '8210.0', '8330.0', '8253.107422', '21585']","['2016-02-03', '8330.0', '8390.0', '8150.0', '8220.0', '8144.123047', '35930']","['2016-02-04', '8160.0', '8220.0', '7870.0', '8130.0', '8054.953613', '72435']","['2016-02-05', '8140.0', '8200.0', '7950.0', '7980.0', '7906.338379', '56540']","['2016-02-11', '7980.0', '8100.0', '7540.0', '7880.0', '7807.26123', '55355']","['2016-02-12', '7880.0', '8060.0', '7400.0', '7510.0', '7440.676758', '39155']","['2016-02-15', '7610.0', '7920.0', '7540.0', '7630.0', '7559.568848', '18830']","['2016-02-16', '7680.0', '7700.0', '7600.0', '7640.0', '7569.476563', '35655']","['2016-02-17', '7690.0', '7690.0', '7350.0', '7380.0', '7311.876953', '34095']","['2016-02-18', '7410.0', '7860.0', '7300.0', '7620.0', '7549.661133', '56805']","['2016-02-19', '7540.0', '7720.0', '6660.0', '6860.0', '6796.676758', '467920']","['2016-02-22', '6880.0', '7040.0', '6790.0', '6860.0', '6796.676758', '218200']","['2016-02-23', '6980.0', '7460.0', '6860.0', '7400.0', '7331.691895', '201670']"
"['2016-02-05', '8140.0', '8200.0', '7950.0', '7980.0', '7906.338379', '56540']","['2016-02-11', '7980.0', '8100.0', '7540.0', '7880.0', '7807.26123', '55355']","['2016-02-12', '7880.0', '8060.0', '7400.0', '7510.0', '7440.676758', '39155']","['2016-02-15', '7610.0', '7920.0', '7540.0', '7630.0', '7559.568848', '18830']","['2016-02-16', '7680.0', '7700.0', '7600.0', '7640.0', '7569.476563', '35655']","['2016-02-17', '7690.0', '7690.0', '7350.0', '7380.0', '7311.876953', '34095']","['2016-02-18', '7410.0', '7860.0', '7300.0', '7620.0', '7549.661133', '56805']","['2016-02-19', '7540.0', '7720.0', '6660.0', '6860.0', '6796.676758', '467920']","['2016-02-22', '6880.0', '7040.0', '6790.0', '6860.0', '6796.676758', '218200']","['2016-02-23', '6980.0', '7460.0', '6860.0', '7400.0', '7331.691895', '201670']","['2016-02-24', '7280.0', '7490.0', '7280.0', '7400.0', '7331.691895', '89395']","['2016-02-25', '7650.0', '7650.0', '7020.0', '7040.0', '6975.015137', '92185']","['2016-02-26', '7340.0', '7440.0', '7040.0', '7290.0', '7222.70752', '107790']","['2016-02-29', '7470.0', '7700.0', '6840.0', '7000.0', '6935.384277', '374810']","['2016-03-02', '7000.0', '8280.0', '6950.0', '7730.0', '7658.645996', '462470']"
"['2016-04-07', '8070.0', '8090.0', '7870.0', '7900.0', '7827.07666', '35545']","['2016-04-08', '7840.0', '8070.0', '7840.0', '8020.0', '7945.969238', '38300']","['2016-04-11', '7900.0', '8030.0', '7820.0', '7910.0', '7836.984375', '76575']","['2016-04-12', '7850.0', '7940.0', '7830.0', '7880.0', '7807.26123', '23815']","['2016-04-14', '7880.0', '7940.0', '7620.0', '7710.0', '7638.830566', '84600']","['2016-04-15', '7610.0', '7870.0', '7610.0', '7800.0', '7728.0', '92770']","['2016-04-18', '8100.0', '8100.0', '7500.0', '7580.0', '7510.030762', '91935']","['2016-04-19', '7640.0', '7750.0', '7500.0', '7570.0', '7500.123047', '93760']","['2016-04-20', '7550.0', '7660.0', '7550.0', '7620.0', '7549.661133', '19110']","['2016-04-21', '7610.0', '7800.0', '7600.0', '7670.0', '7599.199707', '89015']","['2016-04-22', '7700.0', '7860.0', '7620.0', '7680.0', '7609.107422', '54495']","['2016-04-25', '7610.0', '7780.0', '7610.0', '7700.0', '7628.922852', '33670']","['2016-04-26', '7710.0', '7740.0', '7530.0', '7560.0', '7490.215332', '64110']","['2016-04-27', '7670.0', '7670.0', '7530.0', '7640.0', '7569.476563', '82760']","['2016-04-28', '7570.0', '8010.0', '7530.0', '8000.0', '7926.153809', '131030']"
